day, rank, month
 1, 305, 1
 2, 159, 1
 3, 251, 1
 4, 215, 1
 5, 101, 1
 6, 224, 1
 7, 306, 1
 8, 199, 1
 9, 194, 1
 10, 325, 1
 11, 329, 1
 12, 221, 1
 13, 318, 1
 14, 238, 1
 15, 17, 1
 16, 121, 1
 17, 235, 1
 18, 140, 1
 19, 58, 1
 20, 280, 1
 21, 186, 1
 22, 337, 1
 23, 118, 1
 24, 59, 1
 25, 52, 1
 26, 92, 1
 27, 355, 1
 28, 77, 1
 29, 349, 1
 30, 164, 1
 31, 211, 1
 32, 86, 2
 33, 144, 2
 34, 297, 2
 35, 210, 2
 36, 214, 2
 37, 347, 2
 38, 91, 2
 39, 181, 2
 40, 338, 2
 41, 216, 2
 42, 150,  2
 43,  68,  2
 44, 152,  2
 45, 4,  2
 46,  89,  2
 47, 212,  2
 48, 189,  2
 49, 292,  2
 50,  25,  2
 51, 302,  2
 52, 363,  2
 53, 290,  2
 54,  57,  2
 55, 236,  2
 56, 179,  2
 57, 365,  2
 58, 205,  2
 59, 299,  2
 60, 285,  2
 61, 108,  3
 62,  29,  3
 63, 267,  3
 64, 275,  3
 65, 293,  3
 66, 139,  3
 67, 122,  3
 68, 213,  3
 69, 317,  3
 70, 323,  3
 71, 136,  3
 72, 300,  3
 73, 259,  3
 74, 354,  3
 75, 169,  3
 76, 166,  3
 77,  33,  3
 78, 332,  3
 79, 200,  3
 80, 239,  3
 81, 334,  3
 82, 265,  3
 83, 256,  3
 84, 258,  3
 85, 343,  3
 86, 170,  3
 87, 268,  3
 88, 223,  3
 89, 362,  3
 90, 217,  3
 91,  30,  3
 92,  32,  4
 93, 271,  4
 94,  83,  4
 95,  81,  4
 96, 269,  4
 97, 253,  4
 98, 147,  4
 99, 312,  4
100, 219,  4
101, 218,  4
102,  14,  4
103, 346,  4
104, 124,  4
105, 231,  4
106, 273,  4
107, 148,  4
108, 260,  4
109,  90,  4
110, 336,  4
111, 345,  4
112,  62,  4
113, 316,  4
114, 252,  4
115, 2,  4
116, 351,  4
117, 340,  4
118,  74,  4
119, 262,  4
120, 191,  4
121, 208,  4
122, 330,  5
123, 298,  5
124,  40,  5
125, 276,  5
126, 364,  5
127, 155,  5
128,  35,  5
129, 321,  5
130, 197,  5
131,  65,  5
132,  37,  5
133, 133,  5
134, 295,  5
135, 178,  5
136, 130,  5
137,  55,  5
138, 112,  5
139, 278,  5
140,  75,  5
141, 183,  5
142, 250,  5
143, 326,  5
144, 319,  5
145,  31,  5
146, 361,  5
147, 357,  5
148, 296,  5
149, 308,  5
150, 226,  5
151, 103,  5
152, 313,  5
153, 249,  6
154, 228,  6
155, 301,  6
156,  20,  6
157,  28,  6
158, 110,  6
159,  85,  6
160, 366,  6
161, 335,  6
162, 206,  6
163, 134,  6
164, 272,  6
165,  69,  6
166, 356,  6
167, 180,  6
168, 274,  6
169,  73,  6
170, 341,  6
171, 104,  6
172, 360,  6
173,  60,  6
174, 247,  6
175, 109,  6
176, 358,  6
177, 137,  6
178,  22,  6
179,  64,  6
180, 222,  6
181, 353,  6
182, 209,  6
183,  93,  7
184, 350,  7
185, 115,  7
186, 279,  7
187, 188,  7
188, 327,  7
189,  50,  7
190,  13,  7
191, 277,  7
192, 284,  7
193, 248,  7
194,  15,  7
195,  42,  7
196, 331,  7
197, 322,  7
198, 120,  7
199,  98,  7
200, 190,  7
201, 227,  7
202, 187,  7
203,  27,  7
204, 153,  7
205, 172,  7
206,  23,  7
207,  67,  7
208, 303,  7
209, 289,  7
210,  88,  7
211, 270,  7
212, 287,  7
213, 193,  7
214, 111,  8
215,  45,  8
216, 261,  8
217, 145,  8
218,  54,  8
219, 114,  8
220, 168,  8
221,  48,  8
222, 106,  8
223,  21,  8
224, 324,  8
225, 142,  8
226, 307,  8
227, 198,  8
